levelId,Number of Items Displayed per Level,Max Barcode Length),Number of Questions per Item (Barcode Length),Barcode Entry Time (Sec),Barcode Digit Order (Sequential or Random),"Barcode Display Format (Single, Double, Triple)",Number of Questions to Advance to Next Level,Number of Incorrect Answers to Level Down,Total Items Shown in Endgame Memory Section (Including Fakes),Total Number of Fake Items %30,Points per Correct Answer per Level,MAX IN GAME,Penalty Points
1,10,7,3,8,1,1,1,1,5,2,100,1000,500
2,10,7,3,8,2,1,1,1,5,2,105,1050,500
3,10,7,3,8,2,2,1,1,5,2,110,1103,500
4,10,7,4,8,1,1,2,1,6,2,116,1158,500
5,10,7,4,8,1,2,2,1,6,2,122,1216,500
6,10,7,4,8,2,2,2,1,6,2,128,1276,500
7,10,7,4,8,2,1,2,1,6,2,134,1340,500
8,10,7,5,8,1,1,3,1,7,2,141,1407,500
9,10,7,5,8,1,2,3,1,7,2,148,1477,500
10,10,7,5,8,1,3,3,1,7,2,155,1551,500
11,10,7,5,8,2,2,3,1,7,2,163,1629,500
12,10,7,5,8,2,3,3,1,7,2,171,1710,500
13,10,7,5,8,2,1,3,1,7,2,180,1796,500
14,10,7,6,8,1,1,4,1,8,2,189,1886,500
15,10,7,6,8,1,2,4,1,8,2,198,1980,500
16,10,7,6,8,1,3,4,1,8,2,208,2079,500
17,10,7,6,8,2,3,4,1,8,2,218,2183,500
18,10,7,6,8,2,2,4,1,8,2,229,2292,500
19,10,7,6,8,2,1,4,1,8,2,241,2407,500
20,10,7,7,8,1,1,5,2,9,3,253,2527,500
21,10,7,7,8,1,2,5,2,9,3,265,2653,500
22,10,7,7,8,1,3,5,2,9,3,279,2786,500
23,10,7,7,8,2,3,5,2,9,3,293,2925,500
24,10,7,7,8,2,2,5,2,9,3,307,3072,500
25,10,7,7,8,2,1,5,2,9,3,323,3225,500
26,10,8,8,8,1,1,6,2,10,3,339,3386,500
27,10,8,8,8,1,2,6,2,10,3,356,3556,500
28,10,8,8,8,1,3,6,2,10,3,373,3733,500
29,10,8,8,8,2,3,6,2,10,3,392,3920,500
30,10,8,8,8,2,2,6,2,10,3,412,4116,500
31,10,8,8,8,2,1,6,2,10,3,432,4322,500
32,10,9,9,8,1,1,7,3,10,3,454,4538,500
33,10,9,9,8,1,2,7,3,10,3,476,4765,500
34,10,9,9,8,1,3,7,3,10,3,500,5003,500
35,10,9,9,8,2,3,7,3,10,3,525,5253,500
36,10,9,9,8,2,2,7,3,10,3,552,5516,500
37,10,9,9,8,2,1,7,3,10,3,579,5792,500
